Date,Vehicle_ID,Driver_ID,Route_ID,Origin_City,Destination_City,Planned_Kilometers,Actual_Kilometers,Fuel_Consumed_Liters,Delivery_Time_Hours,Delay_Hours,Cargo_Weight_Tons,On_Time_Delivery,Weather_Conditions,Traffic_Conditions,Comments
2024-02-25,V050,D023,R002,Delhi,Surat,1190,1264,205.18,22.46,0.29,7.26,Yes,Rainy,Moderate,Traffic Jam
2024-02-27,V042,D057,R005,Delhi,Nagpur,1068,1102,184.97,24.56,1.02,17.41,No,Rainy,Heavy,Traffic Jam
2024-04-23,V039,D041,R011,Chennai,Surat,1197,1231,202.22,29.96,0.79,11.28,Yes,Foggy,Light,Traffic Jam
2024-03-26,V020,D004,R008,Kolkata,Nagpur,789,837,156.07,20.01,0.72,8.49,Yes,Rainy,Light,Weather Delay
2024-02-01,V022,D057,R013,Mumbai,Lucknow,556,560,75.87,13.4,1.05,13.23,No,Foggy,Heavy,Vehicle Breakdown
2024-04-22,V021,D087,R002,Delhi,Pune,1019,1003,140.16,22.18,0.89,16.58,Yes,Rainy,Heavy,Smooth Delivery
2024-03-03,V036,D034,R016,Hyderabad,Lucknow,350,345,45.1,7.57,1.41,17.75,No,Stormy,Light,Vehicle Breakdown
2024-04-12,V025,D086,R016,Mumbai,Nagpur,846,907,133.29,16.9,0.85,11.85,Yes,Stormy,Light,Late Departure
2024-01-05,V033,D009,R004,Kolkata,Nagpur,559,536,101.72,10.84,0.09,5.05,Yes,Clear,Heavy,Late Departure
2024-01-03,V018,D009,R017,Mumbai,Pune,867,927,185.27,21.33,1.32,12.72,No,Stormy,Moderate,Smooth Delivery
2024-03-07,V024,D056,R007,Chennai,Surat,1144,1220,187.18,25.32,1.94,10.98,No,Rainy,Heavy,Traffic Jam
2024-04-10,V012,D100,R016,Mumbai,Lucknow,883,919,119.45,20.52,0.73,2.06,Yes,Rainy,Light,Weather Delay
2024-02-29,V030,D029,R008,Delhi,Jaipur,453,472,92.74,10.05,2.45,11.9,No,Foggy,Light,Traffic Jam
2024-02-26,V035,D096,R001,Delhi,Pune,1105,1094,148.67,27.36,1.98,12.98,No,Stormy,Light,Smooth Delivery
2024-02-27,V006,D014,R017,Hyderabad,Jaipur,746,727,94.23,19.12,6.85,2.13,No,Rainy,Moderate,Traffic Jam
2024-02-24,V048,D087,R018,Bangalore,Jaipur,361,357,63.75,10.23,1.98,14.48,No,Clear,Heavy,Weather Delay
2024-04-11,V044,D061,R002,Chennai,Nagpur,812,867,150.26,18.5,1.61,9.92,No,Rainy,Light,Vehicle Breakdown
2024-01-28,V031,D084,R002,Bangalore,Lucknow,1260,1328,192.41,33.79,2.28,14.97,No,Rainy,Light,Weather Delay
2024-02-18,V045,D066,R006,Mumbai,Nagpur,358,375,68.61,8.87,0.75,7.04,Yes,Clear,Heavy,Late Departure
2024-04-05,V029,D065,R013,Bangalore,Lucknow,412,405,54.61,8.63,1.25,6.07,No,Rainy,Heavy,Traffic Jam
2024-02-20,V049,D002,R007,Hyderabad,Pune,697,758,136.0,13.69,5.1,15.09,No,Stormy,Light,Smooth Delivery
2024-03-23,V019,D061,R015,Hyderabad,Surat,1376,1512,217.46,34.97,0.34,7.84,Yes,Rainy,Moderate,Traffic Jam
2024-01-16,V025,D055,R003,Mumbai,Indore,1474,1401,198.86,36.51,2.53,8.47,No,Foggy,Heavy,Smooth Delivery
2024-04-04,V007,D052,R004,Mumbai,Jaipur,1203,1229,155.63,30.19,1.92,15.59,No,Stormy,Heavy,Vehicle Breakdown
2024-01-08,V037,D038,R002,Delhi,Jaipur,940,924,142.09,22.38,2.22,13.2,No,Stormy,Light,Late Departure
2024-03-10,V039,D023,R002,Bangalore,Nagpur,896,915,124.69,22.57,2.1,17.58,No,Rainy,Light,Smooth Delivery
2024-02-21,V048,D001,R012,Chennai,Lucknow,1312,1419,193.03,30.4,6.01,8.83,No,Stormy,Heavy,Vehicle Breakdown
2024-02-29,V018,D015,R018,Chennai,Ahmedabad,557,582,106.14,10.2,1.83,15.56,No,Rainy,Moderate,Vehicle Breakdown
2024-01-16,V020,D050,R019,Kolkata,Ahmedabad,378,362,49.66,7.49,1.67,7.25,No,Clear,Moderate,Smooth Delivery
2024-03-05,V016,D026,R006,Mumbai,Surat,446,456,85.53,10.04,0.42,8.28,Yes,Clear,Light,Weather Delay
2024-04-07,V046,D087,R004,Chennai,Indore,592,576,101.23,16.21,3.79,11.55,No,Rainy,Heavy,Late Departure
2024-01-05,V003,D054,R011,Mumbai,Pune,1098,1108,167.75,23.08,3.82,5.22,No,Clear,Heavy,Weather Delay
2024-04-02,V002,D050,R003,Hyderabad,Lucknow,525,522,65.85,12.38,0.03,4.66,Yes,Stormy,Moderate,Vehicle Breakdown
2024-01-04,V011,D070,R008,Bangalore,Ahmedabad,1198,1142,143.29,29.52,3.86,19.93,No,Clear,Moderate,Traffic Jam
2024-04-17,V046,D091,R009,Chennai,Pune,441,458,89.81,12.04,0.99,9.31,Yes,Rainy,Light,Vehicle Breakdown
2024-02-23,V039,D048,R016,Delhi,Pune,1256,1307,206.92,23.4,1.15,14.49,No,Clear,Light,Vehicle Breakdown
2024-04-25,V029,D071,R014,Hyderabad,Ahmedabad,768,832,152.92,19.4,0.17,4.51,Yes,Stormy,Moderate,Weather Delay
2024-04-10,V039,D068,R019,Kolkata,Indore,1419,1457,244.32,32.65,6.07,4.82,No,Rainy,Light,Late Departure
2024-04-13,V021,D043,R013,Delhi,Ahmedabad,862,888,167.65,20.84,1.12,19.04,No,Clear,Heavy,Vehicle Breakdown
2024-02-09,V035,D019,R013,Delhi,Indore,1281,1292,248.71,29.96,0.24,6.14,Yes,Foggy,Moderate,Smooth Delivery
2024-04-23,V004,D074,R015,Hyderabad,Pune,573,597,114.76,12.94,1.41,9.59,No,Stormy,Heavy,Smooth Delivery
2024-03-05,V033,D029,R010,Mumbai,Surat,986,939,118.02,23.29,2.26,7.86,No,Stormy,Moderate,Vehicle Breakdown
2024-02-02,V021,D017,R020,Hyderabad,Nagpur,578,590,95.7,13.81,0.03,8.48,Yes,Rainy,Light,Weather Delay
2024-03-14,V045,D051,R015,Delhi,Lucknow,1026,1111,157.12,27.07,1.34,18.06,No,Foggy,Light,Traffic Jam
2024-02-04,V044,D064,R014,Kolkata,Nagpur,949,1001,183.8,18.13,0.54,10.17,Yes,Rainy,Heavy,Traffic Jam
2024-02-22,V004,D035,R003,Delhi,Ahmedabad,651,669,88.59,12.14,3.98,2.14,No,Foggy,Light,Traffic Jam
2024-01-02,V042,D079,R006,Hyderabad,Indore,900,979,189.61,22.32,1.09,10.64,No,Stormy,Moderate,Smooth Delivery
2024-01-11,V033,D085,R010,Hyderabad,Pune,1150,1196,185.76,21.42,0.41,6.93,Yes,Foggy,Heavy,Vehicle Breakdown
2024-01-26,V041,D050,R011,Chennai,Jaipur,726,789,150.85,15.38,1.72,11.1,No,Rainy,Heavy,Traffic Jam
2024-02-24,V028,D056,R013,Mumbai,Ahmedabad,1464,1543,279.62,28.13,0.23,9.21,Yes,Rainy,Heavy,Weather Delay
2024-01-09,V043,D014,R017,Mumbai,Lucknow,457,439,66.16,9.44,4.25,15.31,No,Stormy,Light,Traffic Jam
2024-03-26,V010,D085,R006,Bangalore,Surat,655,675,86.56,14.7,1.24,12.73,No,Foggy,Moderate,Weather Delay
2024-04-05,V020,D097,R005,Bangalore,Jaipur,307,310,41.25,7.93,1.21,15.0,No,Rainy,Light,Traffic Jam
2024-01-08,V004,D047,R016,Bangalore,Surat,840,911,119.06,18.59,1.55,9.1,No,Rainy,Moderate,Smooth Delivery
2024-01-18,V001,D067,R016,Kolkata,Nagpur,835,851,110.25,15.57,3.39,4.49,No,Stormy,Light,Smooth Delivery
2024-02-06,V027,D078,R010,Chennai,Indore,614,661,84.26,14.54,1.1,16.02,No,Stormy,Light,Weather Delay
2024-04-30,V040,D071,R020,Hyderabad,Lucknow,569,588,73.68,12.9,1.88,16.27,No,Foggy,Light,Traffic Jam
2024-03-01,V045,D091,R016,Mumbai,Pune,753,771,101.84,16.4,0.8,3.94,Yes,Foggy,Heavy,Weather Delay
2024-01-13,V010,D030,R011,Kolkata,Lucknow,1082,1091,151.49,20.25,0.43,8.39,Yes,Rainy,Moderate,Vehicle Breakdown
2024-04-28,V016,D070,R001,Hyderabad,Surat,1470,1430,202.2,27.12,1.54,13.11,No,Rainy,Heavy,Weather Delay
2024-04-05,V033,D014,R019,Bangalore,Jaipur,405,418,79.39,8.17,1.38,13.91,No,Rainy,Heavy,Traffic Jam
2024-02-29,V008,D054,R002,Delhi,Ahmedabad,1184,1284,174.65,23.39,3.93,19.82,No,Rainy,Moderate,Traffic Jam
2024-03-13,V048,D012,R004,Hyderabad,Pune,1111,1152,216.27,25.15,2.32,2.5,No,Clear,Moderate,Late Departure
2024-01-16,V021,D012,R001,Mumbai,Surat,1496,1433,275.5,30.15,1.04,8.64,No,Rainy,Heavy,Traffic Jam
2024-01-02,V001,D091,R008,Mumbai,Surat,1368,1321,183.56,33.03,0.46,13.74,Yes,Foggy,Heavy,Smooth Delivery
2024-03-28,V012,D049,R020,Bangalore,Ahmedabad,312,322,52.9,6.52,0.47,16.31,Yes,Clear,Light,Vehicle Breakdown
2024-04-01,V048,D093,R018,Chennai,Nagpur,782,769,140.42,15.44,1.85,5.29,No,Clear,Heavy,Weather Delay
2024-03-16,V033,D093,R008,Bangalore,Indore,689,666,88.62,13.63,0.59,13.85,Yes,Clear,Moderate,Traffic Jam
2024-04-09,V049,D045,R001,Delhi,Indore,1040,1007,154.42,29.4,0.75,3.35,Yes,Foggy,Light,Traffic Jam
2024-02-07,V029,D053,R011,Mumbai,Indore,1013,1034,165.04,23.08,0.07,8.51,Yes,Clear,Light,Weather Delay
2024-03-18,V039,D090,R006,Mumbai,Pune,1030,1095,179.31,20.89,0.69,9.62,Yes,Stormy,Heavy,Smooth Delivery
2024-03-21,V031,D033,R001,Mumbai,Indore,988,1022,130.16,26.58,0.05,12.94,Yes,Stormy,Moderate,Vehicle Breakdown
2024-04-03,V014,D076,R011,Mumbai,Ahmedabad,350,382,47.93,7.83,0.95,13.61,Yes,Clear,Heavy,Weather Delay
2024-01-29,V019,D031,R020,Hyderabad,Jaipur,1262,1304,188.92,24.05,2.06,10.94,No,Stormy,Light,Weather Delay
2024-03-29,V008,D001,R006,Mumbai,Indore,889,906,130.95,20.15,0.92,2.29,Yes,Clear,Moderate,Weather Delay
2024-04-15,V024,D070,R016,Chennai,Nagpur,1258,1227,189.78,24.45,0.49,11.41,Yes,Clear,Heavy,Traffic Jam
2024-04-01,V023,D073,R016,Hyderabad,Lucknow,1003,1004,188.92,18.52,2.89,3.41,No,Foggy,Heavy,Traffic Jam
2024-04-14,V050,D089,R019,Hyderabad,Ahmedabad,880,931,154.07,16.03,0.54,6.3,Yes,Foggy,Heavy,Smooth Delivery
2024-01-15,V018,D010,R016,Mumbai,Ahmedabad,1101,1139,151.76,28.34,1.85,3.11,No,Foggy,Light,Late Departure
2024-03-29,V002,D060,R007,Bangalore,Indore,818,889,169.55,15.35,1.01,10.07,No,Clear,Heavy,Smooth Delivery
2024-02-16,V022,D096,R001,Bangalore,Indore,551,603,75.65,11.48,0.2,11.11,Yes,Foggy,Heavy,Late Departure
2024-04-20,V019,D009,R020,Bangalore,Surat,1220,1255,191.8,26.3,0.03,14.8,Yes,Stormy,Moderate,Smooth Delivery
2024-01-09,V032,D063,R018,Chennai,Indore,599,633,118.4,12.91,1.26,14.28,No,Clear,Light,Smooth Delivery
2024-04-17,V003,D013,R002,Kolkata,Nagpur,1151,1108,161.06,28.34,1.06,15.92,No,Rainy,Heavy,Weather Delay
2024-03-27,V031,D070,R012,Chennai,Ahmedabad,770,813,151.77,16.44,5.22,4.82,No,Clear,Moderate,Weather Delay
2024-03-10,V019,D079,R009,Mumbai,Surat,1219,1314,184.87,24.15,0.5,7.18,Yes,Clear,Heavy,Traffic Jam
2024-01-04,V005,D097,R016,Bangalore,Jaipur,1117,1212,199.36,30.81,1.38,4.25,No,Stormy,Light,Weather Delay
2024-02-17,V015,D001,R002,Mumbai,Jaipur,1347,1440,207.94,25.66,2.3,4.02,No,Rainy,Moderate,Vehicle Breakdown
2024-04-18,V040,D090,R011,Chennai,Pune,1155,1163,158.8,26.65,5.38,15.24,No,Clear,Light,Smooth Delivery
2024-02-15,V043,D025,R008,Kolkata,Pune,1222,1163,152.23,33.01,0.23,15.22,Yes,Stormy,Light,Late Departure
2024-04-19,V036,D039,R020,Mumbai,Surat,910,982,148.58,22.31,0.65,8.17,Yes,Foggy,Moderate,Late Departure
2024-03-12,V011,D078,R020,Kolkata,Ahmedabad,966,965,168.45,20.48,3.46,7.53,No,Rainy,Light,Weather Delay
2024-04-18,V039,D015,R015,Kolkata,Pune,1437,1405,186.94,28.83,4.01,4.98,No,Stormy,Heavy,Late Departure
2024-03-28,V045,D018,R001,Kolkata,Lucknow,960,932,140.69,20.3,0.98,12.78,Yes,Clear,Light,Weather Delay
2024-03-20,V007,D073,R006,Bangalore,Ahmedabad,1232,1203,186.83,25.58,0.85,14.23,Yes,Rainy,Heavy,Vehicle Breakdown
2024-02-17,V006,D005,R002,Chennai,Indore,791,804,133.98,19.26,0.79,2.42,Yes,Rainy,Light,Weather Delay
2024-01-29,V048,D005,R010,Mumbai,Lucknow,576,604,80.16,13.68,0.07,19.76,Yes,Stormy,Moderate,Weather Delay
2024-04-09,V050,D022,R008,Delhi,Indore,631,624,115.99,14.88,2.01,7.29,No,Clear,Light,Late Departure
2024-01-28,V025,D073,R013,Hyderabad,Pune,1392,1442,230.84,37.26,0.6,15.05,Yes,Stormy,Light,Weather Delay
2024-04-23,V004,D021,R018,Chennai,Lucknow,1346,1402,261.6,35.17,1.54,16.64,No,Clear,Light,Traffic Jam
2024-02-18,V044,D085,R013,Delhi,Ahmedabad,946,948,139.7,24.63,0.56,2.36,Yes,Clear,Heavy,Weather Delay
2024-03-21,V009,D033,R020,Hyderabad,Nagpur,698,743,119.78,13.6,1.85,16.92,No,Rainy,Light,Late Departure
2024-02-23,V018,D082,R012,Chennai,Nagpur,475,471,84.78,8.73,1.9,17.01,No,Foggy,Moderate,Vehicle Breakdown
2024-01-07,V048,D084,R013,Hyderabad,Indore,332,316,52.12,6.66,0.12,12.21,Yes,Clear,Light,Smooth Delivery
2024-02-16,V045,D018,R010,Bangalore,Indore,1397,1417,280.44,35.17,0.5,4.01,Yes,Rainy,Heavy,Weather Delay
2024-03-31,V035,D091,R005,Kolkata,Surat,581,606,105.81,14.33,3.43,10.41,No,Clear,Moderate,Traffic Jam
2024-01-23,V041,D042,R020,Mumbai,Indore,1181,1191,166.07,22.2,0.04,10.07,Yes,Rainy,Moderate,Weather Delay
2024-02-26,V007,D054,R006,Hyderabad,Pune,680,708,118.88,13.48,5.34,18.98,No,Clear,Light,Weather Delay
2024-02-08,V029,D061,R015,Mumbai,Pune,1231,1218,214.47,22.73,0.92,5.75,Yes,Rainy,Heavy,Late Departure
2024-04-22,V021,D075,R004,Bangalore,Indore,1311,1384,236.45,32.49,3.17,4.92,No,Foggy,Moderate,Traffic Jam
2024-03-10,V014,D070,R011,Kolkata,Lucknow,841,807,138.96,17.84,0.2,10.49,Yes,Foggy,Light,Smooth Delivery
2024-02-14,V040,D067,R014,Kolkata,Surat,511,533,70.63,12.9,2.55,6.23,No,Foggy,Heavy,Late Departure
2024-02-26,V035,D078,R007,Delhi,Pune,1390,1461,232.2,37.27,1.88,5.92,No,Clear,Light,Late Departure
2024-04-26,V034,D042,R010,Mumbai,Pune,963,940,154.73,20.04,0.4,5.31,Yes,Stormy,Light,Vehicle Breakdown
2024-01-23,V003,D081,R010,Bangalore,Ahmedabad,1072,1020,159.0,24.6,0.4,2.97,Yes,Clear,Heavy,Smooth Delivery
2024-02-07,V015,D056,R020,Chennai,Lucknow,1444,1464,198.79,29.29,2.96,2.17,No,Stormy,Heavy,Weather Delay
2024-02-10,V046,D081,R001,Kolkata,Surat,368,402,66.73,6.71,0.44,10.49,Yes,Clear,Light,Traffic Jam
2024-02-11,V038,D075,R013,Delhi,Indore,1226,1229,202.56,23.65,2.06,19.86,No,Foggy,Moderate,Vehicle Breakdown
2024-04-10,V021,D018,R002,Chennai,Surat,372,387,60.57,10.11,8.51,11.93,No,Clear,Moderate,Traffic Jam
2024-01-04,V042,D019,R011,Chennai,Jaipur,1458,1538,247.26,31.73,4.29,5.0,No,Clear,Moderate,Traffic Jam
2024-01-02,V050,D048,R004,Delhi,Nagpur,1263,1255,230.01,24.84,0.1,3.47,Yes,Stormy,Light,Vehicle Breakdown
2024-04-02,V044,D071,R007,Kolkata,Surat,1427,1419,216.89,33.09,0.07,19.23,Yes,Foggy,Heavy,Late Departure
2024-01-05,V019,D094,R003,Delhi,Lucknow,1034,1130,193.56,20.83,1.3,6.27,No,Clear,Light,Traffic Jam
2024-01-18,V027,D067,R005,Hyderabad,Ahmedabad,1230,1216,187.84,28.35,0.52,16.54,Yes,Stormy,Heavy,Weather Delay
2024-02-28,V042,D081,R003,Kolkata,Indore,1123,1147,164.69,28.95,1.14,7.72,No,Foggy,Heavy,Late Departure
2024-01-25,V028,D093,R007,Delhi,Indore,960,987,134.42,19.06,0.66,14.5,Yes,Stormy,Moderate,Vehicle Breakdown
2024-02-10,V047,D042,R012,Delhi,Surat,734,800,116.33,19.33,1.71,3.89,No,Clear,Heavy,Late Departure
2024-02-03,V038,D073,R015,Hyderabad,Nagpur,1081,1168,178.32,25.31,0.09,8.85,Yes,Stormy,Moderate,Smooth Delivery
2024-04-26,V007,D075,R007,Kolkata,Indore,1192,1293,255.38,26.79,4.01,9.11,No,Stormy,Heavy,Weather Delay
2024-01-18,V007,D062,R015,Kolkata,Pune,375,380,56.42,8.47,0.28,2.33,Yes,Foggy,Light,Smooth Delivery
2024-03-25,V020,D020,R003,Chennai,Nagpur,1071,1115,143.64,28.85,0.36,8.66,Yes,Foggy,Light,Smooth Delivery
2024-03-10,V015,D011,R017,Delhi,Surat,1359,1455,250.53,25.82,0.08,18.94,Yes,Rainy,Heavy,Weather Delay
2024-04-27,V024,D011,R015,Chennai,Lucknow,995,1028,147.36,23.49,2.28,5.0,No,Foggy,Light,Weather Delay
2024-03-18,V002,D035,R007,Chennai,Jaipur,1436,1374,222.09,27.58,2.11,11.31,No,Clear,Moderate,Traffic Jam
2024-03-17,V008,D038,R017,Delhi,Indore,774,801,148.62,14.94,2.32,13.82,No,Stormy,Light,Late Departure
2024-01-02,V022,D029,R013,Delhi,Nagpur,1382,1409,178.5,26.28,1.55,8.69,No,Rainy,Moderate,Smooth Delivery
2024-03-13,V035,D085,R001,Chennai,Pune,1228,1280,190.3,28.63,0.55,9.33,Yes,Foggy,Light,Late Departure
2024-02-05,V034,D018,R014,Delhi,Pune,595,616,98.02,14.77,2.15,11.57,No,Rainy,Moderate,Smooth Delivery
2024-02-13,V014,D092,R007,Delhi,Ahmedabad,960,921,150.86,18.22,2.11,7.82,No,Rainy,Moderate,Vehicle Breakdown
2024-04-17,V041,D069,R015,Hyderabad,Pune,1428,1557,297.72,26.33,0.42,2.16,Yes,Rainy,Moderate,Smooth Delivery
2024-03-19,V009,D073,R019,Delhi,Indore,1238,1256,206.68,27.04,2.39,17.16,No,Clear,Moderate,Vehicle Breakdown
2024-03-20,V050,D005,R016,Chennai,Nagpur,1196,1208,192.07,31.5,0.07,13.54,Yes,Stormy,Light,Traffic Jam
2024-01-07,V004,D025,R008,Chennai,Lucknow,1454,1395,193.71,31.76,0.33,11.71,Yes,Rainy,Light,Traffic Jam
2024-03-15,V033,D022,R010,Delhi,Pune,327,319,50.5,6.41,0.93,4.68,Yes,Stormy,Light,Vehicle Breakdown
2024-03-25,V046,D040,R013,Chennai,Jaipur,1110,1175,211.32,22.3,0.98,10.17,Yes,Clear,Heavy,Weather Delay
2024-01-26,V038,D016,R020,Delhi,Surat,1380,1487,208.68,38.7,0.53,17.68,Yes,Foggy,Light,Vehicle Breakdown
2024-03-02,V016,D072,R017,Kolkata,Nagpur,730,695,104.74,14.73,1.46,15.69,No,Stormy,Heavy,Late Departure
2024-01-05,V038,D016,R006,Delhi,Pune,1271,1345,190.08,24.71,1.56,9.24,No,Foggy,Light,Late Departure
2024-03-03,V021,D100,R017,Mumbai,Surat,336,342,47.83,6.4,0.48,8.16,Yes,Foggy,Light,Vehicle Breakdown
2024-01-18,V016,D034,R019,Kolkata,Jaipur,894,974,144.61,23.17,1.63,19.83,No,Clear,Moderate,Weather Delay
2024-02-03,V028,D002,R011,Delhi,Surat,420,450,62.18,10.72,3.13,11.46,No,Rainy,Heavy,Traffic Jam
2024-01-22,V048,D011,R004,Bangalore,Pune,1354,1466,244.76,37.36,0.97,6.86,Yes,Rainy,Moderate,Traffic Jam
2024-03-05,V012,D067,R014,Hyderabad,Pune,1155,1221,155.12,23.66,3.27,10.15,No,Stormy,Heavy,Traffic Jam
2024-02-04,V049,D041,R017,Mumbai,Jaipur,922,982,130.43,18.73,1.06,13.27,No,Stormy,Light,Smooth Delivery
2024-03-29,V032,D088,R008,Chennai,Ahmedabad,306,322,55.91,5.98,4.5,10.37,No,Clear,Heavy,Smooth Delivery
2024-02-04,V010,D058,R014,Kolkata,Ahmedabad,304,320,44.38,6.3,1.19,17.87,No,Stormy,Light,Traffic Jam
2024-04-11,V046,D048,R007,Mumbai,Pune,1169,1189,229.39,22.53,1.68,17.29,No,Rainy,Heavy,Smooth Delivery
2024-01-08,V048,D094,R013,Kolkata,Indore,967,938,184.2,18.01,0.24,16.57,Yes,Stormy,Light,Vehicle Breakdown
2024-01-22,V016,D012,R020,Kolkata,Jaipur,413,443,62.17,10.98,1.65,18.0,No,Rainy,Light,Traffic Jam
2024-02-10,V048,D013,R008,Kolkata,Nagpur,387,392,62.81,8.82,0.13,18.06,Yes,Rainy,Moderate,Late Departure
2024-04-21,V046,D088,R016,Delhi,Jaipur,592,639,79.94,12.68,2.09,5.65,No,Rainy,Heavy,Traffic Jam
2024-02-21,V022,D078,R016,Chennai,Nagpur,1454,1526,219.59,27.42,2.66,18.89,No,Foggy,Moderate,Traffic Jam
2024-03-19,V015,D026,R019,Kolkata,Ahmedabad,901,973,127.92,24.84,2.81,12.93,No,Foggy,Light,Late Departure
2024-04-26,V004,D040,R016,Delhi,Nagpur,1380,1389,268.69,28.42,0.6,10.42,Yes,Clear,Moderate,Traffic Jam
2024-04-02,V001,D061,R019,Hyderabad,Pune,388,408,52.75,7.53,0.9,8.98,Yes,Clear,Light,Late Departure
2024-03-12,V042,D076,R007,Mumbai,Ahmedabad,757,746,121.95,20.34,5.32,12.33,No,Stormy,Light,Traffic Jam
2024-02-18,V040,D059,R018,Hyderabad,Indore,1490,1444,238.35,32.43,1.14,2.64,No,Clear,Light,Weather Delay
2024-03-28,V015,D092,R008,Delhi,Jaipur,354,386,66.25,10.02,0.12,12.44,Yes,Stormy,Heavy,Smooth Delivery
2024-02-07,V019,D045,R004,Mumbai,Pune,1335,1295,252.67,31.34,1.46,4.01,No,Clear,Moderate,Weather Delay
2024-03-01,V018,D098,R013,Bangalore,Indore,306,305,48.77,8.01,1.06,3.53,No,Rainy,Light,Smooth Delivery
2024-01-20,V034,D077,R007,Delhi,Pune,762,729,111.14,19.07,0.15,9.63,Yes,Stormy,Heavy,Weather Delay
2024-01-19,V011,D072,R008,Delhi,Surat,856,930,129.66,16.68,3.08,19.51,No,Clear,Heavy,Smooth Delivery
2024-04-13,V010,D093,R019,Hyderabad,Surat,795,846,123.95,18.79,0.3,14.36,Yes,Foggy,Moderate,Traffic Jam
2024-01-28,V012,D065,R014,Mumbai,Indore,1005,1104,172.44,20.31,1.03,9.77,No,Clear,Moderate,Traffic Jam
2024-03-14,V048,D085,R010,Delhi,Surat,368,372,57.11,8.69,2.07,17.74,No,Clear,Moderate,Vehicle Breakdown
2024-03-08,V012,D031,R013,Chennai,Lucknow,993,1074,188.98,18.76,0.63,7.57,Yes,Stormy,Light,Vehicle Breakdown
2024-01-25,V024,D080,R008,Kolkata,Nagpur,486,514,86.91,13.48,0.7,14.99,Yes,Foggy,Light,Smooth Delivery
2024-02-02,V035,D066,R012,Hyderabad,Ahmedabad,460,459,66.63,9.54,1.98,18.15,No,Stormy,Heavy,Smooth Delivery
2024-01-27,V034,D039,R018,Delhi,Lucknow,621,630,114.56,15.01,0.85,14.85,Yes,Stormy,Heavy,Smooth Delivery
2024-01-24,V010,D061,R011,Delhi,Nagpur,873,831,139.73,17.25,1.67,15.17,No,Stormy,Heavy,Traffic Jam
2024-02-02,V008,D016,R020,Bangalore,Surat,1268,1359,184.91,26.07,0.87,19.7,Yes,Foggy,Moderate,Weather Delay
2024-04-27,V019,D051,R002,Bangalore,Ahmedabad,1103,1142,203.63,27.0,1.77,18.65,No,Rainy,Moderate,Weather Delay
2024-03-11,V006,D067,R014,Hyderabad,Pune,1145,1118,213.07,21.76,3.7,6.97,No,Stormy,Light,Traffic Jam
2024-04-05,V013,D024,R016,Hyderabad,Pune,482,485,69.48,11.59,3.15,3.94,No,Clear,Light,Weather Delay
2024-01-08,V028,D082,R011,Bangalore,Lucknow,1181,1128,200.52,29.0,0.18,3.18,Yes,Foggy,Heavy,Traffic Jam
